id,タイトル:title,説明:description,開始日:start,最終日:end
2014-01-07,遇里夢　正月展＜前期＞,,2014/01/07,2014/01/15
2014-01-16,遇里夢　正月展＜後期＞,,2014/01/16,2014/01/31
2014-02-01,道斉茂樹　作品展,,2014/02/01,2014/02/15
2014-02-18,小川けんいち　スケッチ展,,2014/02/18,2014/02/28
2014-03-01,油絵１０人展,,2014/03/01,2014/03/29
2014-04-01,遇里夢　水彩展,,2014/04/01,2014/04/11
2014-04-16,神楽公民館サークル『画油会』,,2014/04/16,2014/04/30
2014-05-01,石川孝司　作品展,,2014/05/01,2014/05/15
2014-05-16,旭川木版画　サークル展,,2014/05/16,2014/05/31
2014-06-03,室城万利子　写真展,,2014/06/03,2014/06/14
2014-06-17,渋谷正己　版画展,,2014/06/17,2014/06/28
2014-07-01,北の夏展＜前期＞,,2014/07/01,2014/07/15
2014-07-16,北の夏展＜後期＞,,2014/07/16,2014/07/31
2014-08-01,西村徳清　絵画展,,2014/08/01,2014/08/14
2014-09-02,道新水彩画教室　仲間展,,2014/09/02,2014/09/13
2014-09-16,渡辺正勝　個展,,2014/09/16,2014/09/30
2014-10-01,吉田栄子　個展,,2014/10/01,2014/10/15
2014-10-16,油彩　三人展,,2014/10/16,2014/10/31
2014-11-01,吉田和昭　作陶展,,2014/11/01,2014/11/15
2014-11-18,坂本正子　作品展,,2014/11/18,2014/11/29
2014-12-02,浅野富士男　四季のうつろい展,,2014/12/02,2014/12/27
