id,タイトル:title,説明:description,開始日:start,最終日:end
2014-01-06,墨原社『新春小品展』,,2014/01/06,2014/01/18
2014-01-20,Prism『上地ひろみ・ガラスアート展』,,2014/01/20,2014/02/01
2014-02-03,有元健二　作品展,,2014/02/03,2014/02/15
2014-02-17,第２回花みずき『旭川冬まつり写真コンテスト』,,2014/02/17,2014/03/01
2014-03-03,木村幹夫　写真展「復興はこれから、北東北の今」,,2014/03/03,2014/03/15
2014-03-17,手織り・きもの服・小物展　森美恵子・三浦美代子,,2014/03/17,2014/03/29
2014-03-31,花みずき写真クラブ　お題『あかり・ひかり』写真展,,2014/03/31,2014/04/12
2014-04-14,アトリエGグループ　美術研究所旭川OB展,,2014/04/14,2014/04/26
2014-05-07,タニコシ　ナツコ　人形とぬいぐるみ展,,2014/05/07,2014/05/17
2014-05-19,川口幸和　絵画展,,2014/05/19,2014/05/31
2014-06-02,創生窯　造形展,,2014/06/02,2014/06/14
2014-06-16,山口敬子　ろうけつ染展　２０１４,,2014/06/16,2014/06/28
2014-06-30,宮川直子のイラスト展,,2014/06/30,2014/07/12
2014-07-14,アトリエ・パレット作品展,,2014/07/14,2014/07/26
2014-07-28,大塚孝司　切り絵展　〜日本のまつり紀行〜,,2014/07/28,2014/08/09
2014-08-11,佐々木真紀　絵画展,,2014/08/11,2014/08/16
2014-08-18,新婦人　絵手紙なかま展,,2014/08/18,2014/08/30
2014-09-01,写真展　中川克已の世界,,2014/09/01,2014/09/13
2014-09-16,稲沢越子　とんぼ玉とガラスアート,,2014/09/16,2014/09/27
2014-09-29,書楽展　木柳廣漠・大和鳥啼・岸本将裕・斉藤櫻龍・斎藤宏宜,,2014/09/29,2014/10/11
2014-10-14,加藤(ｋａｔｏ)克己(ｋｏｋｋｉ)　標本(Ｓｐｅｃｉｍｅｎ)ア―ト(Ａｒｔ),,2014/10/14,2014/10/25
2014-10-27,編み物・毛糸織り展　小西・大石・山口,,2014/10/27,2014/11/08
2014-11-10,旭川市役所カメラクラブ　写真展,,2014/11/10,2014/11/22
2014-11-25,花みずき絵画倶楽部　第２回作品展,,2014/11/25,2014/12/06
2014-12-08,冬のアクセサリー作品展　～ちあき＆ゆう～,,2014/12/08,2014/12/20
